TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_CFIOptionStyleandType,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_UnderlyingInstrumentISIN,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Attributes_DeliveryType
1,Rates,Option,Debt_Option,UPI,QZTNQL80BZ4M,New,,2024-11-05T01:09:17,HRMAVP,NA/O Call Epn Oth AUD,LNDR23 FIXED RATE 2.6% 23-MAR-2027,Other,European-Call,Physical,AUD,AU3CB0239796,CALL,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZ64S7PLJ93T,New,,2024-11-05T01:08:31,HRMDVP,NA/O P Epn Oth AUD,EDC109 FIXED RATE 4.5% 6-SEP-2028,Other,European-Put,Physical,AUD,AU3CB0297224,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZXFH0FW833K,New,,2024-11-05T01:07:34,HRMAVP,NA/O Call Epn Oth AUD,EDC109 FIXED RATE 4.5% 6-SEP-2028,Other,European-Call,Physical,AUD,AU3CB0297224,CALL,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZ3TSZ1GD9BX,New,,2024-11-05T01:06:21,HRMDVP,NA/O P Epn Oth AUD,EDC110 FIXED RATE 4.4% 22-JAN-2027,Other,European-Put,Physical,AUD,AU3CB0300200,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZX4TTBDL129,New,,2024-11-05T01:01:26,HRMAVP,NA/O Call Epn Oth AUD,EDC110 FIXED RATE 4.4% 22-JAN-2027,Other,European-Call,Physical,AUD,AU3CB0300200,CALL,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZHN8VMF4N73,New,,2024-11-05T01:28:32,HRMDVP,NA/O P Epn Oth AUD,OMER01 FIXED RATE NOTE - 4.5% - 16-OCT-2029,Other,European-Put,Physical,AUD,AU3CB0314441,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZWK2CTFBZFX,New,,2024-11-05T01:27:52,HRMAVP,NA/O Call Epn Oth AUD,OMER01 FIXED RATE NOTE - 4.5% - 16-OCT-2029,Other,European-Call,Physical,AUD,AU3CB0314441,CALL,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZKQ9QC6Q36G,New,,2024-11-05T01:27:20,HRMAVP,NA/O Call Epn Oth AUD,EB2635 FIXED RATE NOTE 1.8% 19-JAN-2027 SUSTAINABLE BOND,Other,European-Call,Physical,AUD,AU3CB0285682,CALL,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZS7G083ZGTT,New,,2024-11-05T01:19:35,HRMDVP,NA/O P Epn Oth AUD,LNDR23 FIXED RATE 2.6% 23-MAR-2027,Other,European-Put,Physical,AUD,AU3CB0239796,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZ04X89KDJK9,New,,2024-11-05T01:18:06,HRMDVP,NA/O P Epn Oth AUD,EB2635 FIXED RATE NOTE 1.8% 19-JAN-2027 SUSTAINABLE BOND,Other,European-Put,Physical,AUD,AU3CB0285682,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZPTL61FKTP9,New,,2024-10-16T14:43:38,HRMDVP,NA/O P Epn Oth USD,No name obtainable,Other,European-Put,Physical,USD,US01F0606180,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZ6WJLPHRMJ8,New,,2024-10-16T09:56:33,HRMBVC,NA/O Call Amr Oth JPY,CONVERTIBLE JPY REGS/CONV BOND/CALL/PRRED,Other,American-Call,Cash,JPY,XS2799621680,CALL,AMER,Vanilla,CASH
1,Rates,Option,Debt_Option,UPI,QZQN0J7TN40X,New,,2024-10-16T08:53:10,HRMDVC,NA/O P Epn Oth KRW,KOREA TREASURY BOND 03250-2706(24-4),Other,European-Put,Cash,KRW,KR103501GE64,PUTO,EURO,Vanilla,CASH
1,Rates,Option,Debt_Option,UPI,QZKWZN6GCJ6N,New,,2024-10-16T08:18:16,HRMAVC,NA/O Call Epn Oth KRW,KOREA TREASURY BOND 03250-2706(24-4),Other,European-Call,Cash,KRW,KR103501GE64,CALL,EURO,Vanilla,CASH
1,Rates,Option,Debt_Option,UPI,QZMQ8LVZFL6K,New,,2024-10-16T04:04:39,HRMDVC,NA/O P Epn Oth CNY,TCB 2023 20\REGISTERED\TREASURY BOND\230020,Other,European-Put,Cash,CNY,CND10006ZK16,PUTO,EURO,Vanilla,CASH
1,Rates,Option,Debt_Option,UPI,QZ06BJFBRG6L,New,,2024-10-24T19:34:15,HRMAVC,NA/O Call Epn Oth USD,No name obtainable,Other,European-Call,Cash,USD,US01F0606C40,CALL,EURO,Vanilla,CASH
1,Rates,Option,Debt_Option,UPI,QZJXQT0RZGB8,New,,2024-10-24T15:20:14,HRMDVP,NA/O P Epn Oth USD,No name obtainable,Other,European-Put,Physical,USD,US01F0526156,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZ7JDJ2HDG73,New,,2024-10-23T17:08:03,HRMDVC,NA/O P Epn Oth USD,DTD 08/15/2020,Other,European-Put,Cash,USD,US912810SP49,PUTO,EURO,Vanilla,CASH
1,Rates,Option,Debt_Option,UPI,QZF17KW1QX1T,New,,2024-10-23T13:43:18,HRMEVP,NA/O P Amr Oth USD,DTD 08/15/2024,Other,American-Put,Physical,USD,US912810UD80,PUTO,AMER,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZWGHCGQ85DV,New,,2024-10-23T13:43:03,HRMBVP,NA/O Call Amr Oth USD,DTD 08/15/2024,Other,American-Call,Physical,USD,US912810UD80,CALL,AMER,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZ25PN1NZ54L,New,,2024-10-23T13:40:00,HRMBVP,NA/O Call Amr Oth USD,DTD 02/15/2024,Other,American-Call,Physical,USD,US912810TZ12,CALL,AMER,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZC7146HKR01,New,,2024-10-23T07:52:21,HRMDVP,NA/O P Epn Oth USD,SR NT,Other,European-Put,Physical,USD,US91324PFK30,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZSH58P94QTG,New,,2024-10-23T07:32:40,HRMDVP,NA/O P Epn Oth USD,NT,Other,European-Put,Physical,USD,US747525AK99,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZ5RH2VND8QQ,New,,2024-10-23T07:30:05,HRMDVP,NA/O P Epn Oth USD,NT,Other,European-Put,Physical,USD,US747525AV54,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZMLTTKQV75Q,New,,2024-10-23T07:00:25,HRMDVP,NA/O P Epn Oth USD,NT,Other,European-Put,Physical,USD,US68389XBQ79,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZ4M7MKL3D70,New,,2024-10-18T13:15:20,HRMAVP,NA/O Call Epn Oth USD,DTD 06/30/2024,Other,European-Call,Physical,USD,US91282CKW00,CALL,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZTJGRS5MDQ2,New,,2024-10-18T09:33:51,HRMBVC,NA/O Call Amr Oth JPY,CONVERTIBLE JPY,Other,American-Call,Cash,JPY,XS2679880307,CALL,AMER,Vanilla,CASH
1,Rates,Option,Debt_Option,UPI,QZFTFTRF23JQ,New,,2024-10-18T07:17:41,HRMDVP,NA/O P Epn Oth EUR,REPUBBLICA ITALIANA BUONI DEL TESORO POLIENNALI 15-11-2022 15-12-2029 3.85 - BTP (LONG-TERM TREASURY BONDS),Other,European-Put,Physical,EUR,IT0005519787,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZT75FMP7HV4,New,,2024-10-17T09:46:26,HRMDVP,NA/O P Epn Oth USD,TRANCHE # TR 789,Other,European-Put,Physical,USD,US09659X2W15,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZMZLFHM0P1J,New,,2024-10-17T09:45:00,HRMDVP,NA/O P Epn Oth USD,SUB NT FIXED/FLTG,Other,European-Put,Physical,USD,US06051GMB22,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZDP7JZGM2XR,New,,2024-11-04T19:23:04,HRMAVP,NA/O Call Epn Oth USD,No name obtainable,Other,European-Call,Physical,USD,US01F0426C22,CALL,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZ0TMXZMPTKR,New,,2024-11-04T19:16:45,HRMAVC,NA/O Call Epn Oth USD,DTD 08/15/2024,Other,European-Call,Cash,USD,US912810UD80,CALL,EURO,Vanilla,CASH
1,Rates,Option,Debt_Option,UPI,QZG9R0742DSC,New,,2024-11-04T17:10:51,HRMAVC,NA/O Call Epn Oth USD,No name obtainable,Other,European-Call,Cash,USD,US01F0406C67,CALL,EURO,Vanilla,CASH
1,Rates,Option,Debt_Option,UPI,QZWLC1BQZV9X,New,,2024-10-31T12:04:15,HRMDVP,NA/O P Epn Oth EUR,REPUBBLICA ITALIANA BUONI DEL TESORO POLIENNALI 01-08-2024 01-02-2035 3.85 - BTP (LONG-TERM TREASURY BONDS),Other,European-Put,Physical,EUR,IT0005607970,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZN3WZK9F4C8,New,,2024-10-31T10:29:12,HRMAVP,NA/O Call Epn Oth EUR,REPUBBLICA ITALIANA BUONI DEL TESORO POLIENNALI 02-09-2024 01-10-2029 3 - BTP (LONG-TERM TREASURY BONDS),Other,European-Call,Physical,EUR,IT0005611055,CALL,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZJLD8HCJMLS,New,,2024-10-22T05:16:37,HRMDVP,NA/O P Epn Oth JPY,INT-BEARING GOVT BD 30YR #84,Other,European-Put,Physical,JPY,JP1300841QA6,PUTO,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZF41VBQTZ1N,New,,2024-10-22T05:16:23,HRMAVP,NA/O Call Epn Oth JPY,INT-BEARING GOVT BD 30YR #84,Other,European-Call,Physical,JPY,JP1300841QA6,CALL,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZJ4Q47K378D,New,,2024-10-21T13:34:01,HRMAVP,NA/O Call Epn Oth EUR,REPUBBLICA ITALIANA BUONI DEL TESORO POLIENNALI 01-09-2022 01-09-2043 4.45 - BTP (LONG-TERM TREASURY BONDS),Other,European-Call,Physical,EUR,IT0005530032,CALL,EURO,Vanilla,PHYS
1,Rates,Option,Debt_Option,UPI,QZ6HS5KZP6SM,New,,2024-10-21T11:09:11,HRMBVP,NA/O Call Amr Oth JPY,"JPY 0,00 SANRIO CO.LTD (REGS CV) 23-2028",Other,American-Call,Physical,JPY,XS2726459816,CALL,AMER,Vanilla,PHYS
